file,mode,src,dst,pair,time_sec,throughput_mbps,jitter_ms,lost_packets,total_packets,loss_pct
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,0.5,6.23,0.833,0,538,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,1.5,6.99,0.898,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,2.5,7.01,0.954,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,3.5,7.01,1.026,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,4.5,6.99,1.056,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,5.5,6.95,1.242,0,600,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,6.5,7.04,1.194,0,608,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,7.5,6.99,1.681,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,8.5,7.03,0.869,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,9.5,6.98,1.81,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,10.5,6.99,1.302,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,11.5,7.02,1.711,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,12.5,7.0,1.349,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,13.5,7.02,1.054,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,14.5,6.98,0.855,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,15.615,3.88,33.301,0,410,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,16.615000000000002,8.86,0.912,0,592,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,17.5,8.89,1.031,0,768,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,18.5,7.52,0.877,0,649,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,19.5,6.3,5.67,0,544,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,20.5,7.67,1.237,0,662,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,21.5,6.98,1.175,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,22.5,6.99,1.417,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,23.5,7.04,1.153,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,24.5,6.99,1.316,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,25.5,7.0,1.154,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,26.5,6.97,1.949,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,27.5,7.02,1.187,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,28.5,7.0,0.99,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,29.5,7.0,1.193,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,30.509999999999998,6.96,2.059,0,611,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,31.509999999999998,6.91,1.561,0,587,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,32.5,7.09,1.141,0,612,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,33.5,7.02,0.869,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,34.5,7.0,0.7,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,35.5,7.02,0.793,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,36.5,7.0,0.918,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,37.5,7.0,1.061,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,38.5,7.0,0.936,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,39.5,7.02,0.921,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,40.5,6.96,1.366,0,601,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,41.5,6.99,1.311,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,42.5,7.04,1.11,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,43.5,6.97,1.236,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,44.5,7.02,1.126,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,45.5,6.95,1.322,0,601,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,46.5,7.05,1.155,0,608,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,47.5,6.98,1.129,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,48.5,7.03,1.017,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,49.5,6.98,0.894,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,50.5,7.02,0.805,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,51.5,6.99,1.119,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,52.5,5.28,1.787,0,456,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,53.5,6.68,1.107,0,577,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,54.5,9.05,1.53,0,781,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,55.5,6.99,0.986,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,56.5,7.0,1.325,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,57.5,7.0,0.924,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,58.5,7.0,1.032,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,59.5,7.0,1.349,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,60.5,7.02,0.932,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,61.5,6.99,0.942,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,62.5,6.98,1.059,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,63.5,7.02,1.156,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,64.5,7.0,0.943,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,65.5,3.2,1.579,0,276,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,66.5,9.52,1.284,0,822,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,67.5,8.3,0.869,0,717,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,68.5,6.98,0.966,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,69.5,7.0,1.203,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,70.5,6.99,1.023,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,71.5,6.96,1.629,0,601,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,72.5,7.01,1.865,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,73.5,7.04,1.428,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,74.5,7.01,0.781,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,75.63,3.14,1.471,0,342,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,76.63,8.94,1.538,0,569,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,77.5,9.45,1.585,0,816,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,78.5,7.98,1.106,0,689,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,79.5,6.98,0.79,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,80.5,7.02,0.792,0,606,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,81.5,7.0,1.403,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,82.5,7.0,1.111,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,83.5,7.0,1.197,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,84.5,7.0,0.887,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,85.64,5.29,1.38,0,583,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,86.64,9.08,1.079,0,567,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,87.5,7.68,0.86,0,663,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,88.5,6.99,0.879,0,603,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,89.5,7.01,0.974,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,90.555,4.59,4.368,0,441,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,91.555,9.58,1.258,0,735,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,92.5,7.37,0.762,0,636,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,93.5,7.0,1.03,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,94.5,7.03,1.097,0,607,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,95.5,6.97,1.374,0,602,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,96.5,2.93,1.392,0,253,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,97.63499999999999,0.757,9.084,0,83,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,98.775,0.622,3.897,0,54,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,99.78,5.66,24.979,0,490,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,100.775,1.42,1.282,0,122,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,101.775,2.26,1.377,0,196,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,102.78,6.38,19.529,595,1145,51.96506550218341
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,103.64,9.49,1.043,992,1585,62.58675078864353
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,104.5,9.58,0.817,58,885,6.553672316384181
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,105.5,9.6,1.172,0,829,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,106.5,9.56,0.987,0,826,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,107.5,9.09,0.984,0,785,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,108.5,7.0,1.097,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,109.5,7.01,1.097,0,605,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,110.5,6.1,1.306,0,526,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,111.5,7.89,1.3,0,682,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,112.5,7.01,0.904,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,113.5,6.99,1.054,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,114.5,6.99,1.38,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,115.5,7.0,0.993,0,604,0.0
capture_test12_qos_h3_to_h38_MTD.txt,MTD,h3,h38,h3_to_h38,116.5,7.0,1.014,0,605,0.0
