timestep,action_taken,sel_ip_hosts,c_ip_hosts,ip_top1_host,ip_top1_score,ip_top1_r_i,ip_top1_T_i,ip_top1_kappa,ip_top1_A_i,ip_mean_score,ip_mean_r_i,ip_mean_T_i,ip_mean_kappa,sel_rrm_pairs,c_rrm_pairs,rrm_top1_pair,rrm_top1_score,rrm_top1_r_f,rrm_top1_phi_f,rrm_top1_kappa_f,rrm_top1_A_f,rrm_mean_score,rrm_mean_r_f,rrm_mean_phi_f,rrm_mean_kappa_f
0,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.22329,0.0,0.0,0.535,h1-h30;h1-h31;h1-h32,h1-h30;h1-h31;h1-h32;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,1.42,0.0,1.0,0.705,0,1.42,0.0,1.0,0.5925
6,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.18788,0.0,0.0,0.535,h1-h31;h1-h30;h1-h32,h1-h31;h1-h30;h1-h32;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h31,1.9,0.05556,1.0,0.39,1,1.55425,0.01667,1.0,0.5925
12,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.16704,0.0,0.0,0.535,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.025,0.11111,1.0,0.57,1,1.582,0.03333,1.0,0.5925
18,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.15272,0.0,0.0,0.535,h1-h30;h1-h31;h1-h32,h1-h30;h1-h31;h1-h32;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.0975,0.16667,1.0,0.705,1,1.60975,0.05,1.0,0.5925
24,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.14772,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.305,0.22222,1.0,0.705,1,1.6465,0.06667,1.0,0.5925
30,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.14415,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.4225,0.27778,1.0,0.705,1,1.66525,0.08333,1.0,0.5925
36,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.14147,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.45,0.33333,1.0,0.705,1,1.693,0.1,1.0,0.5925
42,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13939,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6575,0.38889,1.0,0.705,1,1.72975,0.11667,1.0,0.5925
48,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13772,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.775,0.44444,1.0,0.705,1,1.7485,0.13333,1.0,0.5925
54,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.79775,0.15,1.0,0.5925
