link,interval,selected_hits,P_compromise,MPE
s1-s11,1,14,0.3684210526315789,0.631578947368421
s1-s11,2,13,0.34210526315789475,0.6578947368421053
s1-s11,3,14,0.3684210526315789,0.631578947368421
s1-s11,4,14,0.3684210526315789,0.631578947368421
s1-s11,5,14,0.3684210526315789,0.631578947368421
s1-s11,6,15,0.39473684210526316,0.6052631578947368
s1-s11,7,14,0.3684210526315789,0.631578947368421
s1-s11,8,15,0.39473684210526316,0.6052631578947368
s1-s11,9,15,0.39473684210526316,0.6052631578947368
s1-s11,10,14,0.3684210526315789,0.631578947368421
s1-s11,11,15,0.39473684210526316,0.6052631578947368
s1-s11,12,12,0.3157894736842105,0.6842105263157895
s1-s11,13,14,0.3684210526315789,0.631578947368421
s1-s11,14,11,0.2894736842105263,0.7105263157894737
s1-s11,15,9,0.23684210526315788,0.7631578947368421
