N,R,MPE
2,1,0.5
3,1,0.6666666666666667
4,1,0.75
5,1,0.8
6,1,0.8333333333333334
7,1,0.8571428571428572
8,1,0.875
9,1,0.8888888888888888
10,1,0.9
2,2,0.0
3,2,0.33333333333333337
4,2,0.5
5,2,0.6
6,2,0.6666666666666667
7,2,0.7142857142857143
8,2,0.75
9,2,0.7777777777777778
10,2,0.8
2,3,
3,3,0.0
4,3,0.25
5,3,0.4
6,3,0.5
7,3,0.5714285714285714
8,3,0.625
9,3,0.6666666666666667
10,3,0.7
2,4,
3,4,
4,4,0.0
5,4,0.19999999999999996
6,4,0.33333333333333337
7,4,0.4285714285714286
8,4,0.5
9,4,0.5555555555555556
10,4,0.6
2,5,
3,5,
4,5,
5,5,0.0
6,5,0.16666666666666663
7,5,0.2857142857142857
8,5,0.375
9,5,0.4444444444444444
10,5,0.5
