x,L,MPE
0.0,2,1.0
0.005,2,0.990025
0.01,2,0.9801
0.015,2,0.970225
0.02,2,0.9603999999999999
0.025,2,0.9506249999999999
0.03,2,0.9409
0.035,2,0.931225
0.04,2,0.9216
0.045,2,0.912025
0.05,2,0.9025
0.055,2,0.893025
0.06,2,0.8835999999999999
0.065,2,0.8742250000000001
0.07,2,0.8648999999999999
0.075,2,0.8556250000000001
0.08,2,0.8464
0.085,2,0.8372250000000001
0.09,2,0.8281000000000001
0.095,2,0.819025
0.1,2,0.81
0.105,2,0.801025
0.11,2,0.7921
0.115,2,0.7832250000000001
0.12,2,0.7744
0.125,2,0.765625
0.13,2,0.7569
0.135,2,0.748225
0.14,2,0.7395999999999999
0.145,2,0.7310249999999999
0.15,2,0.7224999999999999
0.155,2,0.7140249999999999
0.16,2,0.7055999999999999
0.165,2,0.697225
0.17,2,0.6889
0.17500000000000002,2,0.6806249999999999
0.18,2,0.6724000000000001
0.185,2,0.664225
0.19,2,0.6561000000000001
0.195,2,0.6480249999999999
0.2,2,0.6400000000000001
0.20500000000000002,2,0.6320249999999998
0.21,2,0.6241000000000001
0.215,2,0.616225
0.22,2,0.6084
0.225,2,0.6006250000000001
0.23,2,0.5929
0.23500000000000001,2,0.585225
0.24,2,0.5776
0.245,2,0.570025
0.25,2,0.5625
0.0,3,1.0
0.005,3,0.985074875
0.01,3,0.970299
0.015,3,0.9556716249999999
0.02,3,0.9411919999999999
0.025,3,0.9268593749999999
0.03,3,0.912673
0.035,3,0.8986321249999999
0.04,3,0.8847359999999999
0.045,3,0.8709838749999999
0.05,3,0.8573749999999999
0.055,3,0.8439086249999999
0.06,3,0.8305839999999999
0.065,3,0.8174003750000002
0.07,3,0.8043569999999999
0.075,3,0.7914531250000001
0.08,3,0.778688
0.085,3,0.7660608750000001
0.09,3,0.7535710000000001
0.095,3,0.7412176250000001
0.1,3,0.7290000000000001
0.105,3,0.7169173750000001
0.11,3,0.7049690000000001
0.115,3,0.6931541250000001
0.12,3,0.681472
0.125,3,0.669921875
0.13,3,0.658503
0.135,3,0.6472146249999999
0.14,3,0.636056
