N,R,M,zeta,threshold_MPE
2,2,15,0.1,0.0
3,2,15,0.1,2.1604433006639494e-06
4,2,15,0.1,0.00048828125
5,2,15,0.1,0.005172034830335998
6,2,15,0.1,0.019411095214429953
7,2,15,0.1,0.04499637264890642
8,2,15,0.1,0.08018076606094837
9,2,15,0.1,0.12188117788325663
10,2,15,0.1,0.16712576742195212
2,2,15,0.2,0.0
3,2,15,0.2,0.00028510882396826494
4,2,15,0.2,0.017578125
5,2,15,0.2,0.090501902401536
6,2,15,0.2,0.2092401881202522
7,2,15,0.2,0.34017257722573246
8,2,15,0.2,0.46128687635064125
9,2,15,0.2,0.5642298543707518
10,2,15,0.2,0.6481621045739525
2,2,15,0.3,0.0
3,2,15,0.3,0.0018071759751457045
4,2,15,0.3,0.059234619140625
5,2,15,0.3,0.21727770565017598
6,2,15,0.3,0.4040647834709644
7,2,15,0.3,0.5647944694890732
8,2,15,0.3,0.6864859415218234
9,2,15,0.3,0.7739757313678619
10,2,15,0.3,0.8357662760632327
