N,R,M,zeta,threshold_MPE
2,2,5,0.2,0.0
3,2,5,0.2,0.04526748971193417
4,2,5,0.2,0.1875
5,2,5,0.2,0.33696
6,2,5,0.2,0.46090534979423886
7,2,5,0.2,0.5578032962456119
8,2,5,0.2,0.6328125
9,2,5,0.2,0.6912394790766991
10,2,5,0.2,0.7372800000000002
2,2,10,0.2,0.0
3,2,10,0.2,0.0034039526494944903
4,2,10,0.2,0.0546875
5,2,10,0.2,0.16728975359999998
6,2,10,0.2,0.2991413910481129
7,2,10,0.2,0.42177367901001483
8,2,10,0.2,0.5255928039550781
9,2,10,0.2,0.6100783198381643
10,2,10,0.2,0.6777995264000004
2,2,15,0.2,0.0
3,2,15,0.2,0.00028510882396826494
4,2,15,0.2,0.017578125
5,2,15,0.2,0.090501902401536
6,2,15,0.2,0.2092401881202522
7,2,15,0.2,0.34017257722573246
8,2,15,0.2,0.46128687635064125
9,2,15,0.2,0.5642298543707518
10,2,15,0.2,0.6481621045739525
2,2,20,0.2,0.0
3,2,20,0.2,2.5077833884688226e-05
4,2,20,0.2,0.005908966064453125
5,2,20,0.2,0.050951953194166504
6,2,20,0.2,0.1515108579264293
7,2,20,0.2,0.28253487394761867
8,2,20,0.2,0.41484150253018015
9,2,20,0.2,0.5322690853137888
10,2,20,0.2,0.6296482639026698
2,2,30,0.2,0.0
3,2,30,0.2,2.090160589345681e-07
4,2,30,0.2,0.000715453177690506
5,2,30,0.2,0.01718302499644701
6,2,30,0.2,0.08383843843843074
7,2,30,0.2,0.20392891492976173
8,2,30,0.2,0.3480542890241961
9,2,30,0.2,0.4874269711238674
10,2,30,0.2,0.6069699197257415
