h2,h1,0,2,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:1 -> of:0000000000000001:1"
h2,h1,1,3,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:1 -> of:000000000000000b:6, of:000000000000000b:1 -> of:0000000000000001:1"
h2,h1,2,3,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:2 -> of:000000000000000c:2, of:000000000000000c:1 -> of:0000000000000001:2"
h2,h1,3,3,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:3 -> of:000000000000000d:2, of:000000000000000d:1 -> of:0000000000000001:3"
h2,h1,4,4,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:3 -> of:0000000000000003:2, of:0000000000000003:1 -> of:000000000000000b:5, of:000000000000000b:1 -> of:0000000000000001:1"
h2,h1,5,4,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:1 -> of:000000000000000b:6, of:000000000000000b:2 -> of:000000000000000c:2, of:000000000000000c:1 -> of:0000000000000001:2"
h2,h1,6,4,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:2 -> of:000000000000000c:2, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:1 -> of:0000000000000001:3"
h2,h1,7,4,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:3 -> of:000000000000000d:2, of:000000000000000d:3 -> of:000000000000000c:3, of:000000000000000c:1 -> of:0000000000000001:2"
h2,h1,8,4,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:1 -> of:000000000000000b:6, of:000000000000000b:3 -> of:000000000000000d:2, of:000000000000000d:1 -> of:0000000000000001:3"
h2,h1,9,5,00:00:00:00:00:02,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:3 -> of:0000000000000003:2, of:0000000000000003:1 -> of:000000000000000b:5, of:000000000000000b:2 -> of:000000000000000c:2, of:000000000000000c:1 -> of:0000000000000001:2"
h3,h1,0,2,00:00:00:00:00:03,00:00:00:00:00:01,"of:0000000000000002:1 -> of:000000000000000b:4, of:000000000000000b:1 -> of:0000000000000001:1"
h3,h1,1,3,00:00:00:00:00:03,00:00:00:00:00:01,"of:0000000000000002:2 -> of:0000000000000008:2, of:0000000000000008:1 -> of:000000000000000b:6, of:000000000000000b:1 -> of:0000000000000001:1"
