host,history
h1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
h2,"248,248,248,248,248,248,248,248,248,248,248,248,248,2,2"
h3,"3,3,3,3,3,225,225,225,225,225,225,225,225,3,3"
h4,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4"
h5,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
h6,"6,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
h7,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
h8,"8,8,8,8,8,8,8,8,8,8,8,8,8,8,8"
h9,"9,9,9,9,9,9,9,9,9,9,9,9,9,9,9"
h10,"10,10,10,10,10,10,10,10,10,10,10,10,10,10,10"
h11,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11"
h12,"12,12,12,12,12,12,12,12,12,236,236,236,236,12,12"
h13,"13,13,13,13,13,13,13,13,13,13,13,13,13,13,13"
h14,"14,14,14,14,14,14,14,14,14,14,14,14,14,14,14"
h15,"222,222,222,222,222,222,222,222,222,222,222,222,222,15,15"
h16,"16,16,16,16,16,16,16,16,16,16,16,16,16,16,16"
h17,"17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
h18,"18,18,18,18,18,18,18,18,18,18,18,18,18,18,18"
h19,"19,19,19,19,19,19,19,19,19,19,19,19,19,19,19"
h20,"20,20,20,20,20,20,20,20,20,20,20,20,20,20,20"
h21,"21,21,21,21,21,21,21,21,21,21,21,21,21,21,21"
h22,"22,22,22,22,22,22,22,22,22,22,22,22,22,22,22"
h23,"23,23,23,23,23,23,23,23,23,23,23,23,23,23,23"
h24,"24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
h25,"25,25,25,25,25,25,25,25,25,25,25,25,25,25,25"
h26,"26,26,26,26,26,26,26,26,26,26,26,26,26,26,26"
h27,"27,27,27,27,27,27,27,27,27,27,27,27,27,27,27"
h28,"55,55,55,55,55,55,55,55,55,55,55,55,55,28,28"
h29,"62,62,62,62,62,62,62,62,62,62,62,62,62,29,29"
h30,"46,46,245,245,245,245,245,245,245,245,91,91,91,30,30"
h31,"31,31,31,31,31,31,31,31,31,31,31,31,31,31,31"
h32,"216,216,49,49,49,49,49,49,219,219,219,219,219,32,32"
h33,"239,239,239,239,71,71,71,71,71,71,71,71,211,33,33"
h34,"58,58,58,242,242,242,242,242,242,242,242,242,242,34,34"
h35,"112,112,112,112,112,112,112,112,112,205,205,205,205,35,35"
h36,"52,52,52,52,233,233,233,233,233,233,233,233,233,36,36"
h37,"43,43,43,43,43,43,43,43,43,228,228,228,228,37,37"
h38,"194,194,194,194,37,37,37,37,37,37,37,37,37,38,38"
h39,"34,34,169,169,169,169,169,169,169,169,169,169,169,39,39"
h40,"40,40,40,40,40,40,40,40,40,40,40,40,40,40,40"
