step,h30_score,h30_kappa,h30_r_i,h30_T_i,h30_age,h30_status,h31_score,h31_kappa,h31_r_i,h31_T_i,h31_age,h31_status,h32_score,h32_kappa,h32_r_i,h32_T_i,h32_age,h32_status,h33_score,h33_kappa,h33_r_i,h33_T_i,h33_age,h33_status,h34_score,h34_kappa,h34_r_i,h34_T_i,h34_age,h34_status,h35_score,h35_kappa,h35_r_i,h35_T_i,h35_age,h35_status,h36_score,h36_kappa,h36_r_i,h36_T_i,h36_age,h36_status,h37_score,h37_kappa,h37_r_i,h37_T_i,h37_age,h37_status,h38_score,h38_kappa,h38_r_i,h38_T_i,h38_age,h38_status,h39_score,h39_kappa,h39_r_i,h39_T_i,h39_age,h39_status
0,-0.2967,0.76,0.0,1.0,2,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1443,0.94,0.0,1.0,6,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
6,-0.23,0.76,0.0,1.0,3,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.13,0.94,0.0,1.0,7,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
12,-0.19,0.76,0.0,1.0,4,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1189,0.94,0.0,1.0,8,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
18,-0.1633,0.76,0.0,1.0,5,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.11,0.94,0.0,1.0,9,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
24,-0.1443,0.76,0.0,1.0,6,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1027,0.94,0.0,1.0,10,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
30,-0.13,0.76,0.0,1.0,7,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1027,0.94,0.0,1.0,10,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
36,-0.1189,0.76,0.0,1.0,8,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1027,0.94,0.0,1.0,10,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
42,-0.11,0.76,0.0,1.0,9,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1027,0.94,0.0,1.0,10,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
48,-0.1027,0.76,0.0,1.0,10,below0,-0.1027,0.13,0.0,1.0,10,below0,-0.1027,0.49,0.0,1.0,10,below0,-0.1027,0.85,0.0,1.0,10,below0,-0.1027,0.67,0.0,1.0,10,below0,-0.1027,0.94,0.0,1.0,10,below0,-0.1027,0.22,0.0,1.0,10,below0,-0.1027,0.4,0.0,1.0,10,below0,-0.1027,0.58,0.0,1.0,10,below0,-0.1027,0.31,0.0,1.0,10,below0
54,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.5373,0.94,1.0,1.0,10,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
