timestamp,link_id,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps,rx_pps,tx_pps
2026-07-08T17:13:18.087977,of:0000000000000008:1 -> of:000000000000000b:6,82404,82404,5557678,5557678,0.014,0.014,26.56,26.49
2026-07-08T17:13:18.087977,of:0000000000000003:2 -> of:0000000000000008:3,148600,148602,9753172,9753462,0.023,0.023,43.15,43.19
2026-07-08T17:13:18.087977,of:0000000000000002:2 -> of:0000000000000008:2,146585,146589,9632057,9632473,0.022,0.022,41.86,42.02
2026-07-08T17:13:18.087977,of:0000000000000007:2 -> of:000000000000000a:3,186021,186021,67930622,67930634,0.022,0.022,41.59,41.59
2026-07-08T17:13:18.087977,of:0000000000000007:1 -> of:000000000000000d:5,103357,103359,14509408,14509700,0.015,0.015,29.01,29.08
2026-07-08T17:13:18.087977,of:0000000000000003:1 -> of:000000000000000b:5,144234,144275,60713420,60716151,0.014,0.015,27.15,27.32
2026-07-08T17:13:18.087977,of:0000000000000006:1 -> of:000000000000000d:4,138329,138331,59620439,59620707,0.014,0.014,26.62,26.69
2026-07-08T17:13:18.087977,of:0000000000000006:2 -> of:000000000000000a:2,147851,147853,9711625,9711905,0.022,0.022,42.56,42.62
2026-07-08T17:13:18.087977,of:0000000000000001:3 -> of:000000000000000d:1,131776,131738,8613022,8610713,0.021,0.021,40.07,40.1
2026-07-08T17:13:18.087977,of:0000000000000002:1 -> of:000000000000000b:4,151860,151900,72457682,72460374,0.015,0.015,28.25,28.32
2026-07-08T17:13:18.087977,of:0000000000000001:2 -> of:000000000000000c:1,148179,148142,9610714,9608456,0.023,0.023,45.15,45.34
2026-07-08T17:13:18.087977,of:0000000000000001:1 -> of:000000000000000b:1,140072,140035,9133252,9131069,0.018,0.018,35.19,35.19
2026-07-08T17:13:18.087977,of:0000000000000004:1 -> of:000000000000000c:4,104750,104788,6967576,6970136,0.015,0.015,29.15,29.01
2026-07-08T17:13:18.087977,of:0000000000000005:1 -> of:000000000000000c:5,110923,110925,7347679,7347971,0.016,0.016,29.84,29.91
2026-07-08T17:13:18.087977,of:000000000000000a:1 -> of:000000000000000d:6,120700,120702,63518101,63518405,0.014,0.014,25.76,25.83
2026-07-08T17:13:18.087977,of:000000000000000b:2 -> of:000000000000000c:2,179595,179595,55189961,55189961,0.022,0.022,42.69,42.69
2026-07-08T17:13:18.087977,of:000000000000000c:3 -> of:000000000000000d:3,179524,179524,54938815,54938815,0.022,0.022,42.79,42.76
2026-07-08T17:13:18.087977,of:0000000000000005:2 -> of:0000000000000009:3,143932,143934,9477907,9478185,0.021,0.021,39.34,39.4
2026-07-08T17:13:18.087977,of:000000000000000b:3 -> of:000000000000000d:2,198512,198512,83265406,83265406,0.022,0.022,42.39,42.49
2026-07-08T17:13:18.087977,of:0000000000000004:2 -> of:0000000000000009:2,143868,143869,9474122,9474337,0.021,0.021,39.44,39.47
2026-07-08T17:13:18.087977,of:0000000000000009:1 -> of:000000000000000c:6,74660,74660,5092487,5092487,0.011,0.011,20.45,20.45
2026-07-08T17:13:48.232974,of:0000000000000008:1 -> of:000000000000000b:6,83218,83218,5611328,5611328,0.014,0.014,27.02,27.02
2026-07-08T17:13:48.232974,of:0000000000000003:2 -> of:0000000000000008:3,149908,149906,9838286,9838044,0.023,0.022,43.42,43.28
2026-07-08T17:13:48.232974,of:0000000000000002:2 -> of:0000000000000008:2,147863,147862,9715552,9715337,0.022,0.022,42.42,42.26
2026-07-08T17:13:48.232974,of:0000000000000007:2 -> of:000000000000000a:3,187275,187275,68012361,68012361,0.022,0.022,41.63,41.63
2026-07-08T17:13:48.232974,of:0000000000000007:1 -> of:000000000000000d:5,104863,104825,15502039,15445413,0.264,0.248,49.99,48.66
