tolerated_intervals,zeta,threshold_mpe
0,0.0,0.002153272884984503
1,0.06666666666666667,0.018493077521561298
2,0.13333333333333333,0.07635614175781037
3,0.2,0.20320309939283088
4,0.26666666666666666,0.3957151140987871
5,0.3333333333333333,0.6099731152198999
6,0.4,0.7906249295169806
7,0.4666666666666667,0.9081264065917078
8,0.5333333333333333,0.9675692882719232
9,0.6,0.9909583023156516
10,0.6666666666666666,0.9980576704037688
11,0.7333333333333333,0.9996901717281327
12,0.8,0.9999654607017491
13,0.8666666666666667,0.9999975990274712
14,0.9333333333333333,0.9999999216665938
15,1.0,0.9999999999999991
