timestep,time_seconds,time_hours,pmu_id,gen_bus,rank,importance_score
0,0,0,5,35,1,0.3
0,0,0,3,33,2,0.286765523
0,0,0,1,30,3,0.234945679
0,0,0,4,34,4,0.223871061
0,0,0,8,38,5,0.202395541
0,0,0,2,32,6,0.193464408
0,0,0,7,37,7,0.182222605
0,0,0,9,39,8,0.002159334
0,0,0,6,36,9,0.001209186
0,0,0,10,31,10,0
1,5,0.001388889,5,35,1,0.3
1,5,0.001388889,3,33,2,0.286754506
1,5,0.001388889,1,30,3,0.234867023
1,5,0.001388889,4,34,4,0.223916508
1,5,0.001388889,8,38,5,0.202429339
1,5,0.001388889,2,32,6,0.193074711
1,5,0.001388889,7,37,7,0.182211858
1,5,0.001388889,9,39,8,0.002158872
1,5,0.001388889,6,36,9,0.001209187
1,5,0.001388889,10,31,10,0
2,10,0.002777778,5,35,1,0.3
2,10,0.002777778,3,33,2,0.286789149
2,10,0.002777778,1,30,3,0.235110458
2,10,0.002777778,4,34,4,0.223776962
2,10,0.002777778,8,38,5,0.202326224
2,10,0.002777778,2,32,6,0.194262679
2,10,0.002777778,7,37,7,0.182242423
2,10,0.002777778,9,39,8,0.002160286
2,10,0.002777778,6,36,9,0.001209182
2,10,0.002777778,10,31,10,0
3,15,0.004166667,5,35,1,0.3
3,15,0.004166667,3,33,2,0.286767759
3,15,0.004166667,1,30,3,0.234961032
3,15,0.004166667,4,34,4,0.223862282
3,15,0.004166667,8,38,5,0.202389031
3,15,0.004166667,2,32,6,0.193539872
3,15,0.004166667,7,37,7,0.182224679
3,15,0.004166667,9,39,8,0.002159424
3,15,0.004166667,6,36,9,0.001209186
3,15,0.004166667,10,31,10,0
4,20,0.005555556,5,35,1,0.3
4,20,0.005555556,3,33,2,0.286754873
4,20,0.005555556,1,30,3,0.234869557
4,20,0.005555556,4,34,4,0.22391494
4,20,0.005555556,8,38,5,0.202428162
4,20,0.005555556,2,32,6,0.193087411
4,20,0.005555556,7,37,7,0.182212129
4,20,0.005555556,9,39,8,0.002158885
4,20,0.005555556,6,36,9,0.001209187
4,20,0.005555556,10,31,10,0
5,25,0.006944444,5,35,1,0.3
5,25,0.006944444,3,33,2,0.286767355
5,25,0.006944444,1,30,3,0.234958759
5,25,0.006944444,4,34,4,0.223863345
5,25,0.006944444,8,38,5,0.202389812
5,25,0.006944444,2,32,6,0.193528765
5,25,0.006944444,7,37,7,0.182224127
5,25,0.006944444,9,39,8,0.002159407
5,25,0.006944444,6,36,9,0.001209186
5,25,0.006944444,10,31,10,0
6,30,0.008333333,5,35,1,0.3
6,30,0.008333333,3,33,2,0.286787715
6,30,0.008333333,1,30,3,0.235100635
6,30,0.008333333,4,34,4,0.223782379
6,30,0.008333333,8,38,5,0.20233018
6,30,0.008333333,2,32,6,0.194215885
6,30,0.008333333,7,37,7,0.182241205
6,30,0.008333333,9,39,8,0.002160227
6,30,0.008333333,6,36,9,0.001209182
6,30,0.008333333,10,31,10,0
7,35,0.009722222,5,35,1,0.3
7,35,0.009722222,3,33,2,0.286791774
7,35,0.009722222,1,30,3,0.235128517
7,35,0.009722222,4,34,4,0.223766594
7,35,0.009722222,8,38,5,0.202318636
7,35,0.009722222,2,32,6,0.19434868
7,35,0.009722222,7,37,7,0.182244218
7,35,0.009722222,9,39,8,0.002160387
7,35,0.009722222,6,36,9,0.001209181
7,35,0.009722222,10,31,10,0
8,40,0.011111111,5,35,1,0.3
8,40,0.011111111,3,33,2,0.286773768
8,40,0.011111111,1,30,3,0.235004254
8,40,0.011111111,4,34,4,0.223837087
8,40,0.011111111,8,38,5,0.202370393
8,40,0.011111111,2,32,6,0.193751171
8,40,0.011111111,7,37,7,0.182229724
8,40,0.011111111,9,39,8,0.00215967
8,40,0.011111111,6,36,9,0.001209184
8,40,0.011111111,10,31,10,0
9,45,0.0125,5,35,1,0.3
9,45,0.0125,3,33,2,0.286781527
9,45,0.0125,1,30,3,0.235059054
9,45,0.0125,4,34,4,0.223805505
9,45,0.0125,8,38,5,0.202347126
