timestamp,dst_host,window_sec,first_seen_time,last_seen_time,unique_flow_count_towards_host,short_lived_flow_count_towards_host,long_lived_flow_count_towards_host,avg_flow_lifetime_towards_host,min_flow_lifetime_towards_host,max_flow_lifetime_towards_host,unique_sender_ip_count,sender_ips,unique_sender_mac_count,sender_macs,total_packets_towards_host,total_bytes_towards_host
2026-07-13 22:48:30,00:00:00:00:00:01,300,2026-07-13 22:43:59,2026-07-13 22:48:30,114,97,17,6.25,0.0,15.0,0,,37,"00:00:00:00:00:02,00:00:00:00:00:03,00:00:00:00:00:04,00:00:00:00:00:05,00:00:00:00:00:06,00:00:00:00:00:07,00:00:00:00:00:08,00:00:00:00:00:09,00:00:00:00:00:0a,00:00:00:00:00:0b,00:00:00:00:00:0c,00:00:00:00:00:0d,00:00:00:00:00:0e,00:00:00:00:00:0f,00:00:00:00:00:11,00:00:00:00:00:12,00:00:00:00:00:13,00:00:00:00:00:14,00:00:00:00:00:15,00:00:00:00:00:16,00:00:00:00:00:17,00:00:00:00:00:18,00:00:00:00:00:19,00:00:00:00:00:1a,00:00:00:00:00:1b,00:00:00:00:00:1c,00:00:00:00:00:1d,00:00:00:00:00:1e,00:00:00:00:00:1f,00:00:00:00:00:20,00:00:00:00:00:21,00:00:00:00:00:22,00:00:00:00:00:23,00:00:00:00:00:24,00:00:00:00:00:25,00:00:00:00:00:26,00:00:00:00:00:27",106,10388
2026-07-13 22:48:30,00:00:00:00:00:1e,300,2026-07-13 22:44:59,2026-07-13 22:48:30,5,5,0,4.0,4.0,4.0,0,,1,00:00:00:00:00:01,5,490
2026-07-13 22:48:30,00:00:00:00:00:11,300,2026-07-13 22:45:59,2026-07-13 22:48:30,5,4,1,11.0,10.0,15.0,0,,1,00:00:00:00:00:01,5,490
2026-07-13 22:48:30,00:00:00:00:00:26,300,2026-07-13 22:43:59,2026-07-13 22:47:30,3,3,0,7.33,4.0,9.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:24,300,2026-07-13 22:43:59,2026-07-13 22:47:30,3,3,0,3.33,2.0,6.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:27,300,2026-07-13 22:43:59,2026-07-13 22:47:30,3,3,0,6.33,3.0,8.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:25,300,2026-07-13 22:43:59,2026-07-13 22:47:30,3,3,0,8.33,5.0,10.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:07,300,2026-07-13 22:44:29,2026-07-13 22:48:00,3,3,0,1.0,1.0,1.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:0a,300,2026-07-13 22:44:29,2026-07-13 22:46:59,3,3,0,5.0,5.0,5.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:04,300,2026-07-13 22:44:29,2026-07-13 22:44:29,3,3,0,8.0,8.0,8.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:06,300,2026-07-13 22:44:29,2026-07-13 22:48:00,3,3,0,1.0,1.0,1.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:09,300,2026-07-13 22:44:29,2026-07-13 22:46:59,3,3,0,6.0,6.0,6.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:03,300,2026-07-13 22:44:29,2026-07-13 22:44:29,3,3,0,9.0,9.0,9.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:0b,300,2026-07-13 22:44:29,2026-07-13 22:46:59,3,3,0,4.0,4.0,4.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:08,300,2026-07-13 22:44:29,2026-07-13 22:48:00,3,3,0,0.0,0.0,0.0,0,,1,00:00:00:00:00:01,0,0
2026-07-13 22:48:30,00:00:00:00:00:19,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,8.33,5.0,10.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:1a,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,7.33,4.0,9.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:1b,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,5.67,3.0,7.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:23,300,2026-07-13 22:44:59,2026-07-13 22:47:30,3,3,0,4.33,3.0,7.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:20,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,1.0,1.0,1.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:22,300,2026-07-13 22:44:59,2026-07-13 22:47:30,3,3,0,5.33,4.0,8.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:21,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,0.0,0.0,0.0,0,,1,00:00:00:00:00:01,0,0
2026-07-13 22:48:30,00:00:00:00:00:1d,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,5.0,5.0,5.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:1f,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,3,0,3.0,3.0,3.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:0e,300,2026-07-13 22:45:59,2026-07-13 22:46:59,3,3,0,1.0,1.0,1.0,0,,1,00:00:00:00:00:01,2,196
2026-07-13 22:48:30,00:00:00:00:00:0d,300,2026-07-13 22:45:59,2026-07-13 22:46:59,3,3,0,2.0,2.0,2.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:0c,300,2026-07-13 22:45:59,2026-07-13 22:46:59,3,3,0,3.0,3.0,3.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:1c,300,2026-07-13 22:48:30,2026-07-13 22:48:30,3,3,0,6.0,6.0,6.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:14,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,2,1,8.33,7.0,11.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:12,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,2,1,10.33,9.0,13.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:13,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,2,1,9.33,8.0,12.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:18,300,2026-07-13 22:44:59,2026-07-13 22:48:30,3,1,2,9.33,6.0,11.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:16,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,1,2,11.67,9.0,13.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:15,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,1,2,13.33,10.0,15.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:17,300,2026-07-13 22:45:59,2026-07-13 22:48:30,3,1,2,10.67,8.0,12.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:02,300,2026-07-13 22:44:29,2026-07-13 22:44:29,3,0,3,11.0,11.0,11.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:05,300,2026-07-13 22:44:29,2026-07-13 22:46:59,3,0,3,11.0,11.0,11.0,0,,1,00:00:00:00:00:01,3,294
2026-07-13 22:48:30,00:00:00:00:00:0f,300,2026-07-13 22:45:59,2026-07-13 22:45:59,2,0,2,12.0,12.0,12.0,0,,1,00:00:00:00:00:01,2,196
