action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
ip_shuffle,20260617T220708_703150,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.39,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:000000000000000b:3 -> of:000000000000000d:2,0.024,0.03,0.024,0.012,3.09,2026-06-17T22:07:08,0.024,4.08
ip_shuffle,20260617T220708_703150,of:000000000000000c:3 -> of:000000000000000d:3,0.001,0.00125,0.001,0.001,1.33,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:000000000000000b:2 -> of:000000000000000c:2,0.001,0.00125,0.001,0.001,1.33,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.49,2026-06-17T22:07:08,0.001,1.36
ip_shuffle,20260617T220708_703150,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,1.73,2026-06-17T22:07:08,0.002,1.59
ip_shuffle,20260617T220708_703150,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,1.39,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000007:1 -> of:000000000000000d:5,0.024,0.03,0.024,0.024,3.78,2026-06-17T22:07:08,0.002,1.69
ip_shuffle,20260617T220708_703150,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000008:1 -> of:000000000000000b:6,0.001,0.00125,0.001,0.001,1.33,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.46,2026-06-17T22:07:08,0.001,1.33
ip_shuffle,20260617T220708_703150,of:0000000000000002:1 -> of:000000000000000b:4,0.011,0.013749999999999998,0.011,0.002,1.73,2026-06-17T22:07:08,0.011,2.42
ip_shuffle,20260617T220708_703150,of:0000000000000009:1 -> of:000000000000000c:6,0.001,0.00125,0.001,0.001,1.33,2026-06-17T22:07:08,0.001,1.33
route_mutation,20260617T220738_898378,of:0000000000000004:1 -> of:000000000000000c:4,0.001,0.00125,0.001,0.001,1.2,2026-06-17T22:07:38,0.001,1.33
route_mutation,20260617T220738_898378,of:0000000000000005:1 -> of:000000000000000c:5,0.001,0.00125,0.001,0.001,1.2,2026-06-17T22:07:38,0.001,1.33
route_mutation,20260617T220738_898378,of:000000000000000a:1 -> of:000000000000000d:6,0.001,0.00125,0.001,0.001,1.27,2026-06-17T22:07:38,0.001,1.33
