step,h1-h30_score,h1-h30_kappa_f,h1-h30_r_f,h1-h30_phi_f,h1-h30_age,h1-h30_status,h1-h31_score,h1-h31_kappa_f,h1-h31_r_f,h1-h31_phi_f,h1-h31_age,h1-h31_status,h1-h32_score,h1-h32_kappa_f,h1-h32_r_f,h1-h32_phi_f,h1-h32_age,h1-h32_status,h1-h33_score,h1-h33_kappa_f,h1-h33_r_f,h1-h33_phi_f,h1-h33_age,h1-h33_status,h1-h34_score,h1-h34_kappa_f,h1-h34_r_f,h1-h34_phi_f,h1-h34_age,h1-h34_status,h1-h35_score,h1-h35_kappa_f,h1-h35_r_f,h1-h35_phi_f,h1-h35_age,h1-h35_status,h1-h36_score,h1-h36_kappa_f,h1-h36_r_f,h1-h36_phi_f,h1-h36_age,h1-h36_status,h1-h37_score,h1-h37_kappa_f,h1-h37_r_f,h1-h37_phi_f,h1-h37_age,h1-h37_status,h1-h38_score,h1-h38_kappa_f,h1-h38_r_f,h1-h38_phi_f,h1-h38_age,h1-h38_status,h1-h39_score,h1-h39_kappa_f,h1-h39_r_f,h1-h39_phi_f,h1-h39_age,h1-h39_status
0,2.2479,0.705,0.1111,1.0,6,BLOCKED,2.2,0.39,0.0556,1.0,9,BLOCKED,2.25,0.57,0.1111,1.0,4,BLOCKED,2.495,0.75,0.2778,1.0,2,SELECTED,2.3,0.66,0.1667,1.0,4,SELECTED,2.5325,0.795,0.2778,1.0,2,SELECTED,1.42,0.435,0.0,1.0,0,BLOCKED,2.1325,0.525,0.0556,1.0,9,BLOCKED,2.1425,0.615,0.1667,1.0,1,BLOCKED,1.905,0.48,0.1111,1.0,1,BLOCKED
6,2.2479,0.705,0.1111,1.0,6,BLOCKED,2.2,0.39,0.0556,1.0,9,BLOCKED,2.25,0.57,0.1111,1.0,4,SELECTED,2.46,0.75,0.2778,1.0,1,SELECTED,2.165,0.66,0.1667,1.0,1,BLOCKED,2.4975,0.795,0.2778,1.0,1,SELECTED,1.42,0.435,0.0,1.0,0,BLOCKED,2.1325,0.525,0.0556,1.0,9,BLOCKED,2.1425,0.615,0.1667,1.0,1,BLOCKED,1.905,0.48,0.1111,1.0,1,BLOCKED
12,2.2479,0.705,0.1111,1.0,6,SELECTED,2.2,0.39,0.0556,1.0,9,BLOCKED,2.03,0.57,0.1667,1.0,1,BLOCKED,2.495,0.75,0.3333,1.0,1,SELECTED,2.165,0.66,0.1667,1.0,1,BLOCKED,2.54,0.795,0.3333,1.0,1,SELECTED,1.42,0.435,0.0,1.0,0,BLOCKED,2.1325,0.525,0.0556,1.0,9,BLOCKED,2.1425,0.615,0.1667,1.0,1,BLOCKED,1.905,0.48,0.1111,1.0,1,BLOCKED
18,2.0975,0.705,0.1667,1.0,1,BLOCKED,2.2,0.39,0.0556,1.0,9,SELECTED,2.03,0.57,0.1667,1.0,1,BLOCKED,2.495,0.75,0.3333,1.0,1,SELECTED,2.165,0.66,0.1667,1.0,1,BLOCKED,2.54,0.795,0.3333,1.0,1,SELECTED,1.42,0.435,0.0,1.0,0,BLOCKED,2.1325,0.525,0.0556,1.0,9,BLOCKED,2.1425,0.615,0.1667,1.0,1,BLOCKED,1.905,0.48,0.1111,1.0,1,BLOCKED
24,2.0975,0.705,0.1667,1.0,1,BLOCKED,1.965,0.39,0.1111,1.0,1,BLOCKED,2.03,0.57,0.1667,1.0,1,BLOCKED,2.62,0.75,0.3889,1.0,1,SELECTED,2.165,0.66,0.1667,1.0,1,SELECTED,2.7625,0.795,0.3889,1.0,1,SELECTED,1.42,0.435,0.0,1.0,0,BLOCKED,2.1325,0.525,0.0556,1.0,9,BLOCKED,2.1425,0.615,0.1667,1.0,1,BLOCKED,1.905,0.48,0.1111,1.0,1,BLOCKED
30,2.215,0.705,0.2222,1.0,1,BLOCKED,2.03,0.39,0.1667,1.0,1,BLOCKED,2.125,0.57,0.2222,1.0,1,BLOCKED,2.835,0.75,0.4444,1.0,1,SELECTED,2.295,0.66,0.2778,1.0,1,SELECTED,2.805,0.795,0.4444,1.0,1,SELECTED,1.4925,0.435,0.0556,1.0,0,BLOCKED,2.22,0.525,0.1111,1.0,9,BLOCKED,2.245,0.615,0.2222,1.0,1,BLOCKED,1.985,0.48,0.1667,1.0,1,BLOCKED
36,2.153,0.705,0.1929,1.0,1,BLOCKED,1.9957,0.39,0.1374,1.0,1,BLOCKED,2.0749,0.57,0.1929,1.0,1,BLOCKED,2.783,0.75,0.4613,1.0,1,SELECTED,2.4185,0.66,0.2947,1.0,1,SELECTED,2.8676,0.795,0.4707,1.0,1,SELECTED,1.4421,0.435,0.0169,1.0,0,BLOCKED,2.1591,0.525,0.0725,1.0,9,BLOCKED,2.1737,0.615,0.1836,1.0,1,BLOCKED,1.9428,0.48,0.1374,1.0,1,BLOCKED
42,2.137,0.705,0.1853,1.0,1,BLOCKED,1.9869,0.39,0.1298,1.0,1,BLOCKED,2.0619,0.57,0.1853,1.0,1,BLOCKED,2.7719,0.75,0.4564,1.0,1,SELECTED,2.3187,0.66,0.2897,1.0,1,SELECTED,2.8495,0.795,0.4631,1.0,1,SELECTED,1.4356,0.435,0.012,1.0,0,BLOCKED,2.1513,0.525,0.0675,1.0,9,BLOCKED,2.1646,0.615,0.1786,1.0,1,BLOCKED,1.9319,0.48,0.1298,1.0,1,BLOCKED
48,1.7214,0.705,0.3513,0.6667,1,BLOCKED,1.4144,0.39,0.2958,0.6667,1,BLOCKED,1.5791,0.57,0.3513,0.6667,1,BLOCKED,2.2982,0.75,0.5466,0.6667,1,SELECTED,2.004,0.66,0.518,0.6667,1,BLOCKED,3.7085,0.795,0.8233,1.0,1,SELECTED,0.7142,0.435,0.0466,0.6667,0,BLOCKED,1.4393,0.525,0.1022,0.6667,9,BLOCKED,2.7389,0.615,0.4899,1.0,1,SELECTED,1.4042,0.48,0.2958,0.6667,1,BLOCKED
54,1.4178,0.705,0.4978,0.4,1,BLOCKED,0.9724,0.39,0.4422,0.4,1,BLOCKED,1.965,0.57,0.6667,0.6,1,BLOCKED,3.0269,0.75,0.9786,0.6,1,SELECTED,2.475,0.66,0.8333,0.6,1,SELECTED,2.4315,0.795,0.8287,0.4,1,SELECTED,0.502,0.435,0.354,0.4,0,BLOCKED,1.2703,0.525,0.3843,0.4,9,BLOCKED,1.5181,0.615,0.5762,0.4,1,BLOCKED,1.705,0.48,0.6111,0.6,1,BLOCKED
